GeneID	Expression
CCNA_00178	False
CCNA_01337	False
CCNA_01802	False
CCNA_02130	False
CCNA_R0091	False
CCNA_01038	False
CCNA_02845	False
CCNA_03532	False
CCNA_03772	False
CCNA_00211	False
CCNA_00929	False
CCNA_02520	False
CCNA_02753	False
CCNA_03200	False
CCNA_03938	False
CCNA_01925	False
CCNA_01025	False
CCNA_01570	False
CCNA_02458	False
CCNA_02984	False
CCNA_03368	False
CCNA_03385	False
CCNA_00038	False
CCNA_00359	False
CCNA_00476	False
CCNA_00639	False
CCNA_00345	False
CCNA_03548	False
CCNA_00276	False
CCNA_01118	False
CCNA_00731	False
CCNA_00122	False
CCNA_01900	False
CCNA_03329	False
CCNA_00595	False
CCNA_01404	False
CCNA_01410	False
CCNA_01880	False
CCNA_02930	False
CCNA_03287	False
CCNA_00779	False
CCNA_01252	False
CCNA_01083	False
CCNA_03783	False
CCNA_00377	False
CCNA_02717	False
CCNA_00691	False
CCNA_01682	False
CCNA_02901	False
CCNA_01068	False
CCNA_02555	False
CCNA_01931	False
CCNA_03114	False
CCNA_03140	False
CCNA_00316	False
CCNA_00489	False
CCNA_00634	False
CCNA_01494	False
CCNA_02421	False
CCNA_02463	False
CCNA_02513	False
CCNA_02547	False
CCNA_02949	False
CCNA_03082	False
CCNA_03137	False
CCNA_03423	False
CCNA_03643	False
CCNA_00979	False
CCNA_01619	False
CCNA_02161	False
CCNA_03090	False
CCNA_01253	False
CCNA_01817	False
CCNA_02614	False
CCNA_02703	False
CCNA_02888	False
CCNA_03763	False
CCNA_01827	False
CCNA_03246	False
CCNA_R0078	False
CCNA_00429	False
CCNA_03521	False
CCNA_01004	False
CCNA_01514	False
CCNA_00357	False
CCNA_00899	False
CCNA_02574	False
CCNA_03447	False
CCNA_01363	False
CCNA_00560	False
CCNA_00841	False
CCNA_01665	False
CCNA_03732	False
CCNA_00020	False
CCNA_00854	False
CCNA_01300	False
CCNA_01550	False
CCNA_01723	False
CCNA_01988	False
CCNA_02011	False
CCNA_02076	False
CCNA_03026	False
CCNA_03225	False
CCNA_01335	False
CCNA_02091	False
CCNA_01451	False
CCNA_01987	False
CCNA_02553	False
CCNA_02591	False
CCNA_03257	False
CCNA_03446	False
CCNA_03672	False
CCNA_03810	False
CCNA_R0202	False
CCNA_00133	False
CCNA_00926	False
CCNA_01389	False
CCNA_01750	False
CCNA_03207	False
CCNA_03348	False
CCNA_03316	False
CCNA_01733	False
CCNA_02839	False
CCNA_03490	False
CCNA_03852	False
CCNA_00329	False
CCNA_00881	False
CCNA_01465	False
CCNA_02101	False
CCNA_02376	False
CCNA_02701	False
CCNA_03861	False
CCNA_00069	False
CCNA_00650	False
CCNA_01140	False
CCNA_02055	False
CCNA_01971	False
CCNA_03828	False
CCNA_02892	False
CCNA_03108	False
CCNA_R0182	False
CCNA_02155	False
CCNA_02364	False
CCNA_03622	False
CCNA_01735	False
CCNA_01390	False
CCNA_00648	False
CCNA_03518	False
CCNA_00651	False
CCNA_01190	False
CCNA_01355	False
CCNA_03171	False
CCNA_01209	False
CCNA_02348	False
CCNA_03811	False
CCNA_01835	False
CCNA_03032	False
CCNA_01180	False
CCNA_01416	False
CCNA_01528	False
CCNA_03021	False
CCNA_03647	False
